source,event,acq_datetime,lat,lon,brightness,confidence,frp
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.48239,-82.95107,306.84,49,7.07
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.91367,-85.59568,351.79,96,76.56
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.91176,-85.58405,311.87,67,9.62
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.44388,-82.92673,306.19,43,7.29
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.47783,-83.16866,314.56,70,18.01
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.47491,-83.15295,309.73,61,11.33
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.78851,-84.96604,331.55,86,36.49
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.78639,-84.95369,319.39,77,18.14
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.78398,-84.96074,344.29,93,62.92
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.47506,-83.17586,312.62,59,13.7
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.47222,-83.16008,318.07,74,22.82
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.77443,-84.96298,317.1,69,15.45
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.33599,-82.78838,306.93,41,7.59
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,32.04095,-86.98217,319.92,78,15.38
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,32.03934,-86.97163,316.41,74,12.19
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.55279,-84.09145,313.54,69,9.52
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,32.40676,-90.21795,307.58,57,5.91
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,32.48202,-91.80178,318.24,75,15.67
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,32.48052,-91.78821,324.43,81,25.33
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.42197,-85.01677,312.05,65,9.22
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.073,-83.13501,310.92,62,13.12
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.35581,-85.09583,322.42,79,21.21
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.6426,-87.10587,316.49,74,11.77
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,31.64101,-87.09538,321.34,79,16.31
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,32.27945,-91.99012,311.1,51,7.88
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,30.90225,-83.08223,316.83,72,22.55
NASA-FIRMS,Wildfire,2025-10-14 15:24:00,30.98156,-83.56844,319.8,76,22.76
